timestep,kernel,gradient_type,mae
710,1,Vertical,0.25207072
666,1,Vertical,0.25083882
562,1,Vertical,0.24824373
499,1,Vertical,0.24697962
749,1,Vertical,0.25318086
428,1,Vertical,0.24586175
785,1,Vertical,0.2541569
249,1,Vertical,0.244472
345,1,Vertical,0.2449858
817,1,Vertical,0.25499773
617,1,Vertical,0.2495552
136,1,Vertical,0.24414931
847,1,Vertical,0.25570205
874,1,Vertical,0.25628006
899,1,Vertical,0.25673628
922,1,Vertical,0.25709546
963,1,Vertical,0.25755715
944,1,Vertical,0.25736034
999,1,Vertical,0.2579405
982,1,Vertical,0.2576771
136,3,Vertical,0.23431942
847,3,Vertical,0.24898474
428,3,Vertical,0.2361224
666,3,Vertical,0.24124977
710,3,Vertical,0.2427433
874,3,Vertical,0.25047287
345,3,Vertical,0.23525888
617,3,Vertical,0.23985012
249,3,Vertical,0.23470762
982,3,Vertical,0.25616652
963,3,Vertical,0.25544986
922,3,Vertical,0.25325528
899,3,Vertical,0.2519361
944,3,Vertical,0.25442946
785,3,Vertical,0.24583064
749,3,Vertical,0.24429442
499,3,Vertical,0.23722832
817,3,Vertical,0.24741738
562,3,Vertical,0.2384937
999,3,Vertical,0.25783843
0,1,Vertical,0.25806442
