timestep,kernel,layer,component,gradient_type,mae
999,1,layer_15,mix_ffn,Vertical,0.112414874
999,1,layer_10,mix_ffn,Vertical,0.07926541
999,1,layer_19,mix_ffn,Vertical,0.22932762
999,1,layer_00,mix_ffn,Vertical,0.2326262
999,3,layer_19,mix_ffn,Gaussian,3.2623918
999,3,layer_15,mix_ffn,Gaussian,1.8462147
999,3,layer_15,mix_ffn,Horizontal,0.43118364
999,1,layer_19,mix_ffn,Horizontal,2.093932
999,1,layer_15,mix_ffn,Horizontal,0.13073932
999,3,layer_19,mix_ffn,Horizontal,1.5411202
999,1,layer_19,mix_ffn,Gaussian,0.90441686
999,3,layer_00,mix_ffn,Gaussian,0.2171873
999,3,layer_00,mix_ffn,Horizontal,0.23767196
999,1,layer_00,mix_ffn,Gaussian,0.19646128
999,1,layer_15,mix_ffn,Gaussian,0.12871468
999,3,layer_05,mix_ffn,Horizontal,2.524767
999,3,layer_05,mix_ffn,Gaussian,0.26256585
999,1,layer_10,mix_ffn,Horizontal,0.106829084
999,1,layer_05,mix_ffn,Gaussian,0.41592914
999,3,layer_10,mix_ffn,Gaussian,1.6660749
999,1,layer_10,mix_ffn,Gaussian,0.07603778
999,3,layer_10,mix_ffn,Horizontal,2.1040468
999,3,layer_10,mix_ffn,Vertical,1.7028075
999,3,layer_19,mix_ffn,Vertical,1.0390536
999,1,layer_05,mix_ffn,Horizontal,0.40822136
999,3,layer_00,mix_ffn,Vertical,0.25918525
999,3,layer_15,mix_ffn,Vertical,0.17763223
999,1,layer_05,mix_ffn,Vertical,0.07741347
999,1,layer_00,mix_ffn,Horizontal,0.23038897
999,3,layer_05,mix_ffn,Vertical,0.25408468
