timestep,kernel,gradient_type,spearman
710,1,Vertical,0.18718315493127075
666,1,Vertical,0.20714912203630947
562,1,Vertical,0.24537522322837804
499,1,Vertical,0.26237840522507927
749,1,Vertical,0.16752086651882053
428,1,Vertical,0.27693625457260534
785,1,Vertical,0.14839200049448129
249,1,Vertical,0.2955519222466307
345,1,Vertical,0.2882894784160886
817,1,Vertical,0.1299537709771007
617,1,Vertical,0.2266817022990918
136,1,Vertical,0.3018542727580469
847,1,Vertical,0.11258207052992365
874,1,Vertical,0.09657685901090766
899,1,Vertical,0.08194398256257758
922,1,Vertical,0.0687799525861019
963,1,Vertical,0.047313128541973656
944,1,Vertical,0.057308307799338355
999,1,Vertical,0.02138547871926146
982,1,Vertical,0.040223188971352186
136,3,Vertical,0.3825084166421493
847,3,Vertical,0.23922076232948478
428,3,Vertical,0.36732316940195125
666,3,Vertical,0.3237490820115287
710,3,Vertical,0.3098563471700395
874,3,Vertical,0.2184292475228531
345,3,Vertical,0.3747066231548043
617,3,Vertical,0.33613293125107824
249,3,Vertical,0.3792433139896608
982,3,Vertical,0.11178142290919371
963,3,Vertical,0.12978774447816233
922,3,Vertical,0.17429473529825812
899,3,Vertical,0.19659876464661086
944,3,Vertical,0.15187048848513907
785,3,Vertical,0.2778691177518149
749,3,Vertical,0.2945171303843102
499,3,Vertical,0.35806492497245235
817,3,Vertical,0.25911177193009327
562,3,Vertical,0.3477011294324683
999,3,Vertical,0.06095553621695634
